dataset,regime,query_type,k,radius,base_mean_distances,base_mean_reads,base_mean_nodes_entered,base_mean_subtrees_pruned,base_median_query_time_ms,base_mean_query_time_ms,slimdown_mean_distances,slimdown_pct_mean_distances,slimdown_mean_reads,slimdown_pct_mean_reads,slimdown_mean_nodes_entered,slimdown_pct_mean_nodes_entered,slimdown_mean_subtrees_pruned,slimdown_pct_mean_subtrees_pruned,slimdown_median_query_time_ms,slimdown_pct_median_query_time_ms,slimdown_mean_query_time_ms,slimdown_pct_mean_query_time_ms,etapa1_mean_distances,etapa1_pct_mean_distances,etapa1_mean_reads,etapa1_pct_mean_reads,etapa1_mean_nodes_entered,etapa1_pct_mean_nodes_entered,etapa1_mean_subtrees_pruned,etapa1_pct_mean_subtrees_pruned,etapa1_median_query_time_ms,etapa1_pct_median_query_time_ms,etapa1_mean_query_time_ms,etapa1_pct_mean_query_time_ms,etapa2_mean_distances,etapa2_pct_mean_distances,etapa2_mean_reads,etapa2_pct_mean_reads,etapa2_mean_nodes_entered,etapa2_pct_mean_nodes_entered,etapa2_mean_subtrees_pruned,etapa2_pct_mean_subtrees_pruned,etapa2_median_query_time_ms,etapa2_pct_median_query_time_ms,etapa2_mean_query_time_ms,etapa2_pct_mean_query_time_ms,etapa2_data_mean_distances,etapa2_data_pct_mean_distances,etapa2_data_mean_reads,etapa2_data_pct_mean_reads,etapa2_data_mean_nodes_entered,etapa2_data_pct_mean_nodes_entered,etapa2_data_mean_subtrees_pruned,etapa2_data_pct_mean_subtrees_pruned,etapa2_data_median_query_time_ms,etapa2_data_pct_median_query_time_ms,etapa2_data_mean_query_time_ms,etapa2_data_pct_mean_query_time_ms
brcities5507,concentrado,knn,10,0.5,370.12,68.22,68.22,290.18,0.1325,0.1352336,358.94,-3.0206419539608795,63.45,-6.9920844327176725,63.45,-6.9920844327176725,279.59,-3.6494589565097635,0.12575,-5.094339622641514,0.1308606,-3.2336638231918813,369.98,-0.03782557008537403,66.27,-2.8583992963940235,66.27,-2.8583992963940235,292.03,0.637535322903014,0.1275,-3.7735849056603805,0.1286986,-4.83237893541251,125.09,-66.202853128715,19.8,-70.97625329815304,19.8,-70.97625329815304,118.2,-59.2666620718175,0.0431,-67.47169811320755,0.0445932,-67.02505886111145,153.1,-58.6350372852048,20.67,-69.70096745822339,20.67,-69.70096745822339,89.41,-69.1880901509408,0.0482,-63.622641509433976,0.0470524,-65.2065758805504
brcities5507,concentrado,range,10,0.5,279.79,66.01,66.01,307.99,0.121,0.12039459999999999,269.26,-3.7635369384181097,60.96,-7.650356006665662,60.96,-7.650356006665662,298.04,-3.23062437092113,0.10975,-9.297520661157021,0.110192,-8.474300342374153,281.14,0.48250473569461594,63.90999999999999,-3.1813361611877222,63.90999999999999,-3.1813361611877222,310.09,0.6818403194908814,0.11085,-8.38842975206611,0.11103160000000001,-7.776926872135448,88.12,-68.50495014117732,18.0,-72.73140433267687,18.0,-72.73140433267687,139.56,-54.68684048183383,0.0356,-70.57851239669421,0.0356774,-70.36627888626234,97.28,-65.23106615676043,16.22,-75.42796545977882,16.22,-75.42796545977882,99.36,-67.73921231208804,0.03135,-74.09090909090908,0.031179600000000002,-74.10216072813897
brcities5507,disperso,knn,10,0.5,274.84,46.31,46.31,252.65,0.08845,0.092528,274.46,-0.138262261679521,44.41,-4.102785575469673,44.41,-4.102785575469673,240.81,-4.686324955471998,0.09255,4.635387224420568,0.103003,11.320897458066744,273.68,-0.42206374617958387,45.44,-1.8786439213992756,45.44,-1.8786439213992756,253.25,0.23748268355432192,0.08715,-1.4697569248162754,0.0902818,-2.4275894864257346,89.47,-67.44651433561344,13.440000000000001,-70.97819045562514,13.440000000000001,-70.97819045562514,55.260000000000005,-78.12784484464673,0.0295,-66.64782362916903,0.0304792,-67.0594846965243,126.37,-54.02052103041769,17.65,-61.88728136471605,17.65,-61.88728136471605,92.11,-63.54245002968534,0.03795,-57.0944036178632,0.038271,-58.63846619401695
brcities5507,disperso,range,10,0.5,164.94,40.92,40.92,258.95,0.065,0.072241,161.79,-1.909785376500549,39.15,-4.325513196480946,39.15,-4.325513196480946,247.36000000000004,-4.475767522687757,0.06495,-0.0769230769230898,0.0705412,-2.352957461829157,165.28,0.20613556444768,40.37,-1.3440860215053867,40.37,-1.3440860215053867,259.5,0.21239621548561938,0.0632,-2.769230769230763,0.0705576,-2.330255671986824,47.78,-71.0318903843822,11.86,-71.01661779081134,11.86,-71.01661779081134,72.71,-71.92122031280171,0.0175,-73.07692307692307,0.0248228,-65.63890311595908,64.47,-60.91305929428883,14.74,-63.97849462365591,14.74,-63.97849462365591,111.92,-56.77930102336357,0.026,-60.00000000000001,0.0272736,-62.24636979000845
brcities5507,uniforme,knn,10,0.5,406.53,73.55,73.55,276.9,0.14145,0.14336100000000002,391.22,-3.7660197279413445,67.8,-7.817811012916384,67.8,-7.817811012916384,267.39,-3.434452871072587,0.1362,-3.7115588547189855,0.1446266,0.8828063420316388,394.05,-3.06988414139177,71.1,-3.3310673011556804,71.1,-3.3310673011556804,278.86,0.7078367641748056,0.1411,-0.24743725698125785,0.1443818,0.7120486045716675,157.99,-61.13693946326224,25.85,-64.85384092454113,25.85,-64.85384092454113,139.36,-49.67136150234741,0.0573,-59.490986214209975,0.0577414,-59.723076708449305,135.52,-66.66420682360466,21.4,-70.90414683888511,21.4,-70.90414683888511,116.46,-57.94149512459372,0.04635,-67.2322375397667,0.0464386,-67.60722930225097
brcities5507,uniforme,range,10,0.5,356.36,72.14,72.14,293.65,0.13545,0.1331486,342.03,-4.021214502188809,66.38,-7.984474632658727,66.38,-7.984474632658727,283.9,-3.3202792439979567,0.1295,-4.392764857881125,0.129119,-3.0263930675951487,345.96,-2.9183971265013002,69.52,-3.631827003049632,69.52,-3.631827003049632,296.27,0.892218627617914,0.1245,-8.084163898117378,0.1251866,-5.979784992106561,134.98,-62.12257267931306,24.69,-65.77488217355143,24.69,-65.77488217355143,155.21,-47.14455985016175,0.05255,-61.203396087117014,0.050324400000000005,-62.20433410490234,124.27000000000001,-65.12796048939275,21.32,-70.44635431106182,21.32,-70.44635431106182,132.65,-54.827175208581636,0.04425,-67.33111849390919,0.04415,-66.84155897996675
