dataset,regime,query_type,k,radius,arm,repetitions,centres,query_count,construction_time_ms,adapt_time_ms,total_query_time_ms,between_rep_std_total_query_time_ms,mean_query_time_ms,between_rep_std_mean_query_time_ms,median_query_time_ms,between_rep_std_median_query_time_ms,p95_query_time_ms,std_query_time_ms,mean_distances,mean_index_distances,mean_leaf_distances,mean_reads,mean_writes,mean_nodes_entered,mean_leaves_entered,mean_subtrees_pruned,mean_tau_updates,mean_queue_pops,mean_queue_pops_discarded,mean_result_size,adapt_distances,adapt_reads,adapt_writes,objects_relocated,reverse_relocations,radius_shrink_total,tree_height,node_count,num_objects,index_size_bytes,correct_results,page_size,seed
brcities5507,disperso,knn,10,0.5,original,5,8.0,100.0,84.86377999999999,0.0,9.2528,0.3649774856069893,0.092528,0.0036497748560698927,0.08845,0.0023465400060514625,0.1383,0.0323358,274.84,126.72999999999999,148.11,46.31,0.0,46.31,25.0,252.65,29.65,60.25,14.940000000000001,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,393.0,5507.0,403456.0,1.0,1024.0,42.0
brcities5507,disperso,knn,10,0.5,slimdown,5,8.0,100.0,100.31178,3.6115000000000004,10.3003,1.9179715313319954,0.103003,0.019179715313319957,0.09255,0.014695858260067701,0.138675,0.0384903,274.46,121.52000000000001,152.94,44.41,0.0,44.41,23.2,240.81,27.360000000000003,58.42999999999999,15.02,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,378.0,5507.0,403456.0,1.0,1024.0,42.0
brcities5507,disperso,range,10,0.5,etapa1,5,8.0,100.0,84.4072,16.059919999999998,7.055760000000001,0.23596810801462126,0.0705576,0.0023596810801462167,0.0632,0.0022925422569715025,0.11702,0.029757899999999997,165.28,100.83,64.45,40.37,0.0,40.37,19.94,259.5,0.0,0.0,0.0,5.86,18517.0,7356.0,422.0,446.0,125.0,22.6209,4.0,393.0,5507.0,403456.0,1.0,1024.0,42.0
brcities5507,disperso,range,10,0.5,etapa2,5,8.0,100.0,86.03768,103.33917999999998,2.4822800000000003,0.5723253288122062,0.0248228,0.005723253288122062,0.0175,0.004634598148707177,0.03803,0.010275442,47.78,26.43,21.35,11.86,0.0,11.86,3.95,72.71,0.0,0.0,0.0,5.86,0.0,0.0,0.0,0.0,0.0,0.0,4.0,488.0,5507.0,500736.0,1.0,1024.0,42.0
brcities5507,disperso,range,10,0.5,etapa2_data,5,8.0,100.0,89.21428,93.54648,2.72736,0.10651024833320036,0.0272736,0.0010651024833320032,0.026,0.0013512031675510538,0.042615,0.009029966,64.47,40.06,24.41,14.74,0.0,14.74,5.76,111.92,0.0,0.0,0.0,5.86,0.0,0.0,0.0,0.0,0.0,0.0,4.0,466.0,5507.0,1.84467e+19,1.0,1024.0,42.0
brcities5507,disperso,range,10,0.5,original,5,8.0,100.0,83.01992,0.0,7.2241,0.2319151784597116,0.072241,0.0023191517845971158,0.065,0.0015947570347861727,0.11853,0.0305772,164.94,101.83,63.11,40.92,0.0,40.92,20.49,258.95,0.0,0.0,0.0,5.86,0.0,0.0,0.0,0.0,0.0,0.0,4.0,393.0,5507.0,403456.0,1.0,1024.0,42.0
brcities5507,disperso,range,10,0.5,slimdown,5,8.0,100.0,91.40718,2.71864,7.05412,0.23701653317859472,0.0705412,0.002370165331785948,0.06495,0.002629876422952229,0.11721,0.02938192,161.79,96.59,65.2,39.15,0.0,39.15,18.85,247.36000000000004,0.0,0.0,0.0,5.86,0.0,0.0,0.0,0.0,0.0,0.0,4.0,378.0,5507.0,403456.0,1.0,1024.0,42.0
brcities5507,uniforme,knn,10,0.5,etapa1,5,0.0,100.0,87.93762000000001,21.23322,14.43818,0.5016201521071495,0.1443818,0.0050162015210715,0.1411,0.003509807687039276,0.1813,0.02863694,394.05,177.04,217.01,71.1,0.0,71.1,46.4,278.86,35.14,84.89,14.789999999999997,10.0,24674.0,7091.0,1414.0,1505.0,463.0,54.4131,4.0,393.0,5507.0,403456.0,1.0,1024.0,42.0
brcities5507,uniforme,knn,10,0.5,etapa2,5,0.0,100.0,94.3835,107.1682,5.77414,0.17012560947723304,0.0577414,0.0017012560947723295,0.0573,0.002166621794407136,0.075815,0.01219946,157.99,81.36,76.63,25.85,0.0,25.85,11.23,139.36,25.75,42.49,17.64,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,475.0,5507.0,487424.0,1.0,1024.0,42.0
brcities5507,uniforme,knn,10,0.5,etapa2_data,5,0.0,100.0,88.46696,95.90603999999999,4.64386,0.1675855095167837,0.0464386,0.001675855095167838,0.04635,0.0016437761404765557,0.06612,0.009378542,135.52,66.83,68.69,21.4,0.0,21.4,9.28,116.46,21.75,38.3,17.9,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,465.0,5507.0,1.84467e+19,1.0,1024.0,42.0
brcities5507,uniforme,knn,10,0.5,original,5,0.0,100.0,84.34603999999999,0.0,14.336099999999998,0.36454510694837206,0.14336100000000002,0.0036454510694837144,0.14145,0.00412168048252167,0.18223,0.024561,406.53,180.32,226.20999999999998,73.55,0.0,73.55,48.85,276.9,36.51,86.85,14.3,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,393.0,5507.0,403456.0,1.0,1024.0,42.0
brcities5507,uniforme,knn,10,0.5,slimdown,5,0.0,100.0,90.12786,3.4411,14.46266,1.820770608286502,0.1446266,0.018207706082865028,0.1362,0.016652950189080612,0.18017,0.03198532,391.22,168.49,222.72999999999996,67.8,0.0,67.8,43.15,267.39,33.17,81.2,14.4,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,378.0,5507.0,403456.0,1.0,1024.0,42.0
brcities5507,uniforme,range,10,0.5,etapa1,5,0.0,100.0,82.30118,19.05866,12.51866,0.13608222881772594,0.1251866,0.0013608222881772646,0.1245,0.0014867750334196512,0.16761,0.02618438,345.96,161.86,184.1,69.52,0.0,69.52,44.75,296.27,0.0,0.0,0.0,21.72,24765.0,6896.0,1419.0,1495.0,482.0,58.76219999999999,4.0,393.0,5507.0,403456.0,1.0,1024.0,42.0
brcities5507,uniforme,range,10,0.5,etapa2,5,0.0,100.0,86.8361,101.21768,5.032439999999999,0.19768336551161791,0.050324400000000005,0.0019768336551161825,0.05255,0.0011953033087881899,0.066905,0.013316320000000001,134.98,69.09,65.89,24.69,0.0,24.69,10.39,155.21,0.0,0.0,0.0,21.72,0.0,0.0,0.0,0.0,0.0,0.0,4.0,475.0,5507.0,487424.0,1.0,1024.0,42.0
brcities5507,uniforme,range,10,0.5,etapa2_data,5,0.0,100.0,87.84044,94.56286,4.415,0.11226212629377721,0.04415,0.0011226212629377721,0.04425,0.0011116429282822778,0.0606,0.0109871,124.27000000000001,57.92,66.35,21.32,0.0,21.32,9.31,132.65,0.0,0.0,0.0,21.72,0.0,0.0,0.0,0.0,0.0,0.0,4.0,465.0,5507.0,1.84467e+19,1.0,1024.0,42.0
brcities5507,uniforme,range,10,0.5,original,5,0.0,100.0,83.71846000000001,0.0,13.31486,0.40499226288905793,0.1331486,0.0040499226288905794,0.13545,0.0038712078218561177,0.17674,0.0273682,356.36,165.88,190.48,72.14,0.0,72.14,47.37,293.65,0.0,0.0,0.0,21.72,0.0,0.0,0.0,0.0,0.0,0.0,4.0,393.0,5507.0,403456.0,1.0,1024.0,42.0
brcities5507,uniforme,range,10,0.5,slimdown,5,0.0,100.0,93.58528,2.7321,12.9119,0.3055885387248679,0.129119,0.003055885387248681,0.1295,0.0012796483892069683,0.16653,0.027949400000000003,342.03,153.41,188.62,66.38,0.0,66.38,41.68,283.9,0.0,0.0,0.0,21.72,0.0,0.0,0.0,0.0,0.0,0.0,4.0,378.0,5507.0,403456.0,1.0,1024.0,42.0
